  For t = -9967, found 76 pairs
  For t = -9966, found 391 pairs
  For t = -9874, found 8 pairs
  For t = -9873, found 446 pairs
  For t = -9780, found 401 pairs
  For t = -9779, found 46 pairs
  For t = -9687, found 371 pairs
  For t = -9686, found 120 pairs
  For t = -9594, found 280 pairs
  For t = -9593, found 184 pairs
  For t = -9501, found 250 pairs
  For t = -9500, found 252 pairs
  For t = -9408, found 214 pairs
  For t = -9407, found 302 pairs
  For t = -9315, found 100 pairs
  For t = -9314, found 366 pairs
  For t = -9222, found 52 pairs
  For t = -9221, found 404 pairs
  For t = -9128, found 470 pairs
  For t = -9127, found 26 pairs
  For t = -9035, found 390 pairs
  For t = -9034, found 74 pairs
  For t = -8942, found 326 pairs
  For t = -8941, found 170 pairs
  For t = -8849, found 246 pairs
  For t = -8848, found 187 pairs
  For t = -8756, found 222 pairs
  For t = -8755, found 287 pairs
  For t = -8663, found 132 pairs
  For t = -8662, found 352 pairs
  For t = -8570, found 80 pairs
  For t = -8569, found 414 pairs
  For t = -8477, found 16 pairs
  For t = -8476, found 495 pairs
  For t = -8383, found 435 pairs
  For t = -8382, found 40 pairs
  For t = -8290, found 369 pairs
  For t = -8289, found 94 pairs
  For t = -8197, found 282 pairs
  For t = -8196, found 176 pairs
  For t = -8104, found 212 pairs
  For t = -8103, found 238 pairs
  For t = -8011, found 228 pairs
  For t = -8010, found 292 pairs
  For t = -7918, found 120 pairs
  For t = -7917, found 354 pairs
  For t = -7825, found 68 pairs
  For t = -7824, found 397 pairs
  For t = -7731, found 450 pairs
  For t = -7730, found 20 pairs
  For t = -7638, found 384 pairs
  For t = -7637, found 77 pairs
  For t = -7545, found 364 pairs
  For t = -7544, found 134 pairs
  For t = -7452, found 296 pairs
  For t = -7451, found 208 pairs
  For t = -7359, found 186 pairs
  For t = -7358, found 248 pairs
  For t = -7266, found 144 pairs
  For t = -7265, found 302 pairs
  For t = -7173, found 70 pairs
  For t = -7172, found 400 pairs
  For t = -7080, found 20 pairs
  For t = -7079, found 444 pairs
  For t = -6986, found 408 pairs
  For t = -6985, found 40 pairs
  For t = -6893, found 340 pairs
  For t = -6892, found 100 pairs
  For t = -6800, found 336 pairs
  For t = -6799, found 156 pairs
  For t = -6707, found 240 pairs
  For t = -6706, found 238 pairs
  For t = -6614, found 164 pairs
  For t = -6613, found 280 pairs
  For t = -6521, found 90 pairs
  For t = -6520, found 351 pairs
  For t = -6428, found 50 pairs
  For t = -6427, found 428 pairs
  For t = -6334, found 492 pairs
  For t = -6241, found 332 pairs
  For t = -6240, found 60 pairs
  For t = -6148, found 360 pairs
  For t = -6147, found 140 pairs
  For t = -6055, found 322 pairs
  For t = -6054, found 184 pairs
  For t = -5962, found 216 pairs
  For t = -5961, found 274 pairs
  For t = -5869, found 156 pairs
  For t = -5868, found 338 pairs
  For t = -5776, found 102 pairs
  For t = -5775, found 328 pairs
  For t = -5683, found 26 pairs
  For t = -5682, found 426 pairs
  For t = -5589, found 485 pairs
  For t = -5588, found 38 pairs
  For t = -5496, found 362 pairs
  For t = -5495, found 92 pairs
  For t = -5403, found 332 pairs
  For t = -5402, found 164 pairs
  For t = -5310, found 278 pairs
  For t = -5309, found 212 pairs
  For t = -5217, found 214 pairs
  For t = -5216, found 268 pairs
  For t = -5124, found 138 pairs
  For t = -5123, found 347 pairs
  For t = -5031, found 72 pairs
  For t = -5030, found 351 pairs
  For t = -4938, found 4 pairs
  For t = -4937, found 458 pairs
  For t = -4844, found 428 pairs
  For t = -4843, found 40 pairs
  For t = -4751, found 398 pairs
  For t = -4750, found 134 pairs
  For t = -4658, found 271 pairs
  For t = -4657, found 154 pairs
  For t = -4565, found 224 pairs
  For t = -4564, found 246 pairs
  For t = -4472, found 184 pairs
  For t = -4471, found 278 pairs
  For t = -4379, found 103 pairs
  For t = -4378, found 402 pairs
  For t = -4286, found 32 pairs
  For t = -4285, found 438 pairs
  For t = -4192, found 426 pairs
  For t = -4191, found 18 pairs
  For t = -4099, found 362 pairs
  For t = -4098, found 78 pairs
